Trip..Duration,Start.Station.Id,Start.Time,End.Station.Id,End.Time,User.Type,Long_Trip
639,7293,12/07/2021 19:10,7003,12/07/2021 19:21,Annual Member,No
763,7249,12/07/2021 19:32,7152,12/07/2021 19:45,Annual Member,No
479,7293,12/07/2021 19:38,7549,12/07/2021 19:46,Annual Member,No
329,7293,12/07/2021 19:40,7292,12/07/2021 19:45,Annual Member,No
770,7293,12/07/2021 19:50,7375,12/07/2021 20:03,Annual Member,No
670,7293,12/07/2021 19:55,7260,12/07/2021 20:06,Annual Member,No
237,7293,12/07/2021 19:58,7544,12/07/2021 20:02,Annual Member,No
211,7293,12/07/2021 20:16,7006,12/07/2021 20:19,Annual Member,No
588,7293,12/07/2021 20:26,7121,12/07/2021 20:36,Annual Member,No
593,7293,12/07/2021 21:23,7281,12/07/2021 21:33,Annual Member,No
767,7338,12/08/2021 03:14,7357,12/08/2021 03:27,Casual Member,No
1292,7338,12/08/2021 07:41,7004,12/08/2021 08:02,Annual Member,Yes
1113,7338,12/08/2021 08:33,7386,12/08/2021 08:52,Annual Member,Yes
1085,7338,12/08/2021 08:39,7269,12/08/2021 08:57,Annual Member,Yes
1583,7338,12/08/2021 11:19,7483,12/08/2021 11:45,Casual Member,Yes
360,7293,12/08/2021 12:18,7544,12/08/2021 12:24,Annual Member,No
299,7293,12/08/2021 12:47,7066,12/08/2021 12:52,Annual Member,No
1103,7662,12/08/2021 13:29,7329,12/08/2021 13:48,Casual Member,Yes
652,7293,12/08/2021 15:59,7049,12/08/2021 16:09,Annual Member,No
291,7293,12/08/2021 16:01,7389,12/08/2021 16:06,Annual Member,No
432,7293,12/08/2021 16:31,7544,12/08/2021 16:38,Annual Member,No
1014,7293,12/08/2021 16:55,7299,12/08/2021 17:12,Annual Member,Yes
1144,7293,12/08/2021 17:25,7055,12/08/2021 17:44,Casual Member,Yes
386,7293,12/08/2021 17:43,7001,12/08/2021 17:49,Casual Member,No
517,7662,12/08/2021 18:16,7148,12/08/2021 18:24,Annual Member,No
191,7293,12/08/2021 18:16,7006,12/08/2021 18:20,Annual Member,No
338,7293,12/08/2021 18:48,7285,12/08/2021 18:54,Annual Member,No
781,7293,12/08/2021 19:01,7333,12/08/2021 19:14,Annual Member,No
584,7293,12/08/2021 19:07,7252,12/08/2021 19:17,Annual Member,No
1175,7662,12/08/2021 19:22,7543,12/08/2021 19:42,Casual Member,Yes
453,7293,12/08/2021 20:00,7079,12/08/2021 20:08,Casual Member,No
631,7293,12/08/2021 20:13,7683,12/08/2021 20:23,Annual Member,No
450,7293,12/08/2021 20:14,7544,12/08/2021 20:22,Casual Member,No
580,7662,12/08/2021 20:17,7412,12/08/2021 20:26,Annual Member,No
390,7293,12/08/2021 20:21,7089,12/08/2021 20:27,Annual Member,No
412,7293,12/08/2021 20:26,7199,12/08/2021 20:33,Annual Member,No
629,7293,12/08/2021 20:53,7599,12/08/2021 21:03,Casual Member,No
330,7293,12/08/2021 21:30,7022,12/08/2021 21:35,Annual Member,No
